gene_a,gene_b,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
AURKA,ECT2,0.831,0.0,0.0,0.0,0.495,0.071,0.0,0.67
FANCI,TIMELESS,0.83,0.0,0.0,0.0,0.785,0.0,0.0,0.243
NCAPG,DTL,0.83,0.0,0.0,0.0,0.795,0.0,0.0,0.205
CKAP2L,TOP2A,0.83,0.0,0.0,0.0,0.766,0.0,0.0,0.306
CENPI,CDK1,0.828,0.0,0.0,0.0,0.353,0.071,0.4,0.58
CENPE,CKAP2L,0.827,0.0,0.0,0.0,0.763,0.0,0.0,0.303
CCNB1,PLK4,0.824,0.0,0.0,0.0,0.515,0.177,0.0,0.596
DTL,TOP2A,0.822,0.0,0.0,0.0,0.781,0.0,0.0,0.222
RAD51AP1,TOP2A,0.822,0.0,0.0,0.0,0.641,0.0,0.0,0.524
KIF11,ARHGAP11A,0.821,0.0,0.0,0.0,0.77,0.0,0.0,0.253
PLK4,NUF2,0.82,0.0,0.0,0.0,0.653,0.0,0.0,0.503
DTL,ZWINT,0.819,0.0,0.0,0.0,0.785,0.0,0.0,0.19
NUF2,ECT2,0.818,0.0,0.0,0.0,0.583,0.0,0.0,0.581
PLK4,EXO1,0.816,0.0,0.0,0.0,0.635,0.091,0.0,0.489
NUF2,DTL,0.816,0.0,0.0,0.0,0.795,0.0,0.0,0.143
AURKA,NCAPH,0.814,0.0,0.0,0.0,0.556,0.246,0.0,0.49
NCAPG,KIF18A,0.813,0.0,0.0,0.0,0.687,0.0,0.0,0.428
DTL,UBE2T,0.812,0.0,0.0,0.0,0.78,0.0,0.0,0.181
AURKA,CCNE2,0.812,0.0,0.0,0.0,0.191,0.616,0.0,0.446
CENPE,SPAG5,0.811,0.0,0.0,0.0,0.664,0.091,0.0,0.431
KIF15,RACGAP1,0.81,0.0,0.0,0.0,0.507,0.0,0.4,0.411
ESPL1,TPX2,0.81,0.0,0.0,0.0,0.563,0.0,0.0,0.584
KIF11,CENPI,0.809,0.0,0.0,0.0,0.523,0.438,0.0,0.344
KIF18A,CENPI,0.808,0.0,0.0,0.0,0.595,0.169,0.0,0.474
KIF15,DTL,0.807,0.0,0.0,0.0,0.79,0.0,0.0,0.121
TPX2,EXO1,0.807,0.0,0.0,0.0,0.614,0.0,0.0,0.522
KIF11,CKAP2L,0.806,0.0,0.0,0.0,0.762,0.0,0.0,0.22
POLQ,EXO1,0.805,0.059,0.0,0.0,0.494,0.0,0.0,0.625
NUF2,SPAG5,0.804,0.0,0.0,0.0,0.648,0.076,0.0,0.447
AURKA,SPAG5,0.8,0.0,0.0,0.0,0.581,0.294,0.0,0.376
TPX2,UBE2T,0.799,0.0,0.0,0.0,0.559,0.042,0.0,0.562
KIF23,KNTC1,0.798,0.0,0.0,0.0,0.718,0.0,0.0,0.311
EXO1,TOP2A,0.797,0.058,0.0,0.0,0.591,0.0,0.0,0.515
CDC6,TOP2A,0.797,0.0,0.0,0.0,0.484,0.162,0.0,0.568
CKAP2L,CDK1,0.797,0.0,0.0,0.0,0.763,0.0,0.0,0.179
NUF2,CENPK,0.793,0.0,0.0,0.0,0.594,0.0,0.0,0.511
KIF15,ZWINT,0.793,0.0,0.0,0.0,0.552,0.0,0.0,0.558
PLK4,RACGAP1,0.793,0.0,0.0,0.0,0.461,0.086,0.0,0.613
ESPL1,CENPI,0.791,0.0,0.0,0.0,0.374,0.0,0.5,0.386
CDK1,CENPK,0.789,0.0,0.0,0.0,0.565,0.0,0.4,0.256
KIF18A,RACGAP1,0.787,0.0,0.0,0.0,0.526,0.0,0.4,0.311
AURKA,ZWINT,0.787,0.0,0.0,0.0,0.431,0.0,0.0,0.642
POLQ,STIL,0.784,0.0,0.0,0.0,0.784,0.0,0.0,0.0
NUF2,RACGAP1,0.783,0.0,0.0,0.0,0.68,0.0,0.0,0.35
KIF18A,CKAP2L,0.782,0.0,0.0,0.0,0.679,0.0,0.0,0.349
CENPE,EXO1,0.781,0.0,0.0,0.0,0.574,0.0,0.0,0.508
KIF23,KPNA2,0.778,0.0,0.0,0.0,0.422,0.325,0.0,0.476
KIF23,PLK4,0.777,0.0,0.0,0.0,0.544,0.114,0.0,0.492
AURKA,ESPL1,0.773,0.0,0.0,0.0,0.454,0.0,0.0,0.602
CCNB1,EXO1,0.773,0.0,0.0,0.0,0.521,0.328,0.0,0.35
KIF11,EXO1,0.772,0.0,0.0,0.0,0.699,0.063,0.0,0.255
PLK4,CKAP2L,0.772,0.0,0.0,0.0,0.766,0.0,0.0,0.069
SPAG5,RACGAP1,0.771,0.0,0.0,0.0,0.652,0.0,0.0,0.369
NCAPG,PARPBP,0.77,0.0,0.0,0.0,0.66,0.0,0.0,0.353
ESPL1,KIF23,0.769,0.0,0.0,0.0,0.622,0.0,0.0,0.413
KNTC1,EXO1,0.768,0.0,0.0,0.0,0.701,0.0,0.0,0.255
CDC6,KNTC1,0.767,0.0,0.0,0.0,0.469,0.0,0.0,0.579
NCAPH,SPAG5,0.766,0.0,0.0,0.0,0.645,0.0,0.0,0.37
NCAPH,KNTC1,0.766,0.0,0.0,0.0,0.603,0.0,0.0,0.434
NUF2,CKAP2L,0.765,0.0,0.0,0.0,0.643,0.0,0.0,0.369
RAD51AP1,KIF15,0.765,0.0,0.0,0.0,0.651,0.0,0.0,0.354
RAD51AP1,PLK4,0.762,0.0,0.0,0.0,0.729,0.0,0.0,0.159
CENPE,KNTC1,0.762,0.0,0.0,0.0,0.602,0.0,0.0,0.426
NUF2,KNTC1,0.762,0.0,0.0,0.0,0.62,0.0,0.0,0.399
CDC6,AURKA,0.761,0.0,0.0,0.0,0.477,0.075,0.0,0.546
ESPL1,KIF15,0.76,0.0,0.0,0.0,0.636,0.0,0.0,0.367
ARHGAP11A,TOP2A,0.758,0.0,0.0,0.0,0.72,0.0,0.0,0.17
NCAPH,NUF2,0.758,0.0,0.0,0.0,0.649,0.0,0.0,0.339
DNA2,TIMELESS,0.758,0.0,0.0,0.0,0.219,0.073,0.0,0.693
STIL,CDK1,0.756,0.0,0.0,0.0,0.469,0.0,0.0,0.558
TPX2,CKAP2L,0.756,0.0,0.0,0.0,0.63,0.0,0.0,0.368
CCNB1,CCNE2,0.755,0.0,0.0,0.0,0.456,0.0,0.0,0.569
ESPL1,EXO1,0.754,0.0,0.0,0.0,0.494,0.0,0.0,0.534
ESPL1,KIF18A,0.753,0.0,0.0,0.0,0.414,0.0,0.5,0.225
RAD51AP1,DNA2,0.752,0.0,0.0,0.0,0.339,0.0,0.5,0.311
CCNB1,SGO2,0.752,0.0,0.0,0.0,0.44,0.0,0.4,0.323
KNTC1,CDK1,0.751,0.0,0.0,0.0,0.475,0.0,0.4,0.272
TPX2,ECT2,0.75,0.0,0.0,0.0,0.518,0.0,0.0,0.503
SGO2,CDK1,0.748,0.0,0.0,0.0,0.356,0.0,0.4,0.4
CCNB1,FANCI,0.746,0.0,0.0,0.0,0.508,0.0,0.0,0.505
ARHGAP11A,CDK1,0.745,0.0,0.0,0.0,0.697,0.069,0.0,0.17
CDC6,GINS1,0.744,0.0,0.0,0.0,0.483,0.071,0.0,0.509
TOP2A,KPNA2,0.742,0.0,0.0,0.0,0.428,0.0,0.0,0.567
NCAPG,SPAG5,0.742,0.0,0.0,0.0,0.607,0.0,0.0,0.372
BRIP1,UBE2T,0.742,0.0,0.0,0.0,0.2,0.051,0.0,0.687
FANCI,ECT2,0.741,0.0,0.0,0.0,0.463,0.0,0.0,0.538
EXO1,TIMELESS,0.74,0.0,0.0,0.0,0.497,0.098,0.0,0.474
PLK4,TPX2,0.739,0.0,0.0,0.0,0.509,0.0,0.0,0.491
KIF18A,ECT2,0.738,0.0,0.0,0.0,0.622,0.0,0.0,0.335
KIF15,KNTC1,0.737,0.0,0.0,0.0,0.585,0.0,0.0,0.391
NCAPG,EXO1,0.737,0.0,0.0,0.0,0.629,0.0,0.0,0.32
PLK4,FANCI,0.732,0.0,0.0,0.0,0.475,0.0,0.0,0.51
CCNB1,KNTC1,0.731,0.0,0.0,0.0,0.387,0.071,0.4,0.305
NCAPG,ESPL1,0.73,0.0,0.0,0.0,0.406,0.07,0.0,0.551
ZWINT,UBE2T,0.73,0.0,0.0,0.0,0.63,0.0,0.0,0.3
KIF15,EXO1,0.73,0.0,0.0,0.0,0.677,0.0,0.0,0.199
CENPE,ARHGAP11A,0.729,0.0,0.0,0.0,0.677,0.093,0.0,0.15
KIF18A,CENPK,0.729,0.0,0.0,0.0,0.452,0.0,0.0,0.526
BRIP1,EME1,0.728,0.0,0.0,0.0,0.181,0.0,0.5,0.39
KIF23,CENPI,0.727,0.0,0.0,0.0,0.552,0.144,0.0,0.345
GINS1,CDK1,0.726,0.0,0.0,0.0,0.38,0.094,0.0,0.552
CDK1,PARPBP,0.726,0.0,0.0,0.0,0.689,0.0,0.0,0.156
AURKA,KIF15,0.725,0.0,0.0,0.0,0.536,0.0,0.0,0.431
TPX2,FANCI,0.724,0.0,0.0,0.0,0.535,0.0,0.0,0.43
EXO1,ZWINT,0.724,0.0,0.0,0.0,0.459,0.0,0.0,0.511
NCAPH,CENPE,0.724,0.0,0.0,0.0,0.527,0.096,0.0,0.406
FANCI,RACGAP1,0.722,0.0,0.0,0.0,0.488,0.0,0.0,0.48
NCAPH,ESPL1,0.719,0.0,0.0,0.0,0.521,0.0,0.0,0.438
CDC6,NUF2,0.717,0.0,0.0,0.0,0.566,0.0,0.0,0.374
BRIP1,WDHD1,0.717,0.0,0.0,0.0,0.445,0.146,0.0,0.452
RAD51AP1,EME1,0.717,0.0,0.0,0.0,0.24,0.0,0.5,0.315
NCAPH,KIF23,0.716,0.0,0.0,0.0,0.536,0.099,0.0,0.375
S100B,SOX10,0.716,0.0,0.0,0.0,0.233,0.0,0.0,0.645
FANCI,TOP2A,0.715,0.0,0.0,0.0,0.58,0.0,0.0,0.348
KIF18A,PLK4,0.715,0.0,0.0,0.0,0.619,0.066,0.0,0.262
RACGAP1,KPNA2,0.714,0.0,0.0,0.0,0.402,0.0,0.0,0.542
EME1,UBE2T,0.713,0.0,0.0,0.0,0.233,0.047,0.5,0.309
KIF18A,PARPBP,0.713,0.0,0.0,0.0,0.621,0.0,0.0,0.274
KIF18A,TPX2,0.711,0.0,0.0,0.0,0.559,0.0,0.0,0.37
CCNB1,GINS1,0.711,0.0,0.0,0.0,0.456,0.091,0.0,0.462
CENPI,PARPBP,0.71,0.0,0.0,0.0,0.539,0.0,0.0,0.397
CENPI,ZWINT,0.71,0.0,0.0,0.0,0.197,0.0,0.0,0.654
CDC6,ZWINT,0.71,0.0,0.0,0.0,0.63,0.0,0.0,0.248
KIF18A,SGO2,0.709,0.0,0.0,0.0,0.56,0.0,0.0,0.366
NCAPG,STIL,0.708,0.0,0.0,0.0,0.651,0.0,0.0,0.199
NCAPH,EXO1,0.707,0.0,0.0,0.0,0.565,0.07,0.0,0.335
RAD51AP1,NUF2,0.706,0.0,0.0,0.0,0.575,0.0,0.0,0.338
NCAPH,ZWINT,0.705,0.0,0.0,0.0,0.556,0.0,0.0,0.362
CENPE,CENPK,0.703,0.0,0.0,0.0,0.374,0.0,0.0,0.545
RAD51AP1,PARPBP,0.7,0.0,0.0,0.0,0.526,0.0,0.0,0.393
