gene_name,weighted_degree,degree,degree_centrality,betweenness_centrality,closeness_centrality,community_id,log2FoldChange,abs_log2FoldChange,padj
NPNT,0.0,0,0.0,0.0,0.0,81,2.14132825131811,2.14132825131811,7.819150348527654e-87
LRRC46,0.0,0,0.0,0.0,0.0,65,2.1286560455388894,2.1286560455388894,3.208697807876995e-97
C9orf116,0.0,0,0.0,0.0,0.0,48,2.037624760484216,2.037624760484216,5.0442354622512305e-117
TMEM220,0.0,0,0.0,0.0,0.0,33,-2.0176398604940013,2.0176398604940013,5.226638341928573e-152
CA12,0.0,0,0.0,0.0,0.0,73,1.9971196440644972,1.9971196440644972,6.996498500021639e-91
TESMIN,0.0,0,0.0,0.0,0.0,69,1.9970377091842693,1.9970377091842693,2.3308791784864528e-94
AC007255.1,0.0,0,0.0,0.0,0.0,63,1.975503748640209,1.975503748640209,5.9118961030963474e-102
ZG16B,0.0,0,0.0,0.0,0.0,91,1.9693929446650524,1.9693929446650524,1.1173114465864029e-83
ANXA9,0.0,0,0.0,0.0,0.0,49,1.931771480180304,1.931771480180304,8.642990518091378e-117
PRRT3,0.0,0,0.0,0.0,0.0,60,1.930303195309808,1.930303195309808,6.850241025783228e-103
SPATA17,0.0,0,0.0,0.0,0.0,57,1.9258869787308568,1.9258869787308568,7.119262743468116e-104
PRR36,0.0,0,0.0,0.0,0.0,83,1.9162372967425412,1.9162372967425412,7.261522676134912e-86
NMT2,0.0,0,0.0,0.0,0.0,24,-1.89368515820056,1.89368515820056,4.624190627137677e-160
C5AR2,0.0,0,0.0,0.0,0.0,52,1.8905520362275277,1.8905520362275277,6.842389902569768e-108
SPTBN1,0.0,0,0.0,0.0,0.0,35,-1.8485388726124976,1.8485388726124976,9.824238495275969e-151
KLHDC9,0.0,0,0.0,0.0,0.0,72,1.8026828361590268,1.8026828361590268,1.0381369543714751e-92
CD2BP2-DT,0.0,0,0.0,0.0,0.0,79,1.778002638541311,1.778002638541311,6.114104373356625e-88
TPRN,0.0,0,0.0,0.0,0.0,55,1.773268121678138,1.773268121678138,1.7281852937875895e-106
SIAH2,0.0,0,0.0,0.0,0.0,80,1.7681073455786935,1.7681073455786935,7.536378074426472e-88
ZNF552,0.0,0,0.0,0.0,0.0,87,1.7494553346236323,1.7494553346236323,3.31422223806679e-84
MLPH,0.0,0,0.0,0.0,0.0,75,1.6502066195240803,1.6502066195240803,1.8454692885239728e-88
NUAK2,0.0,0,0.0,0.0,0.0,90,1.5928251571359742,1.5928251571359742,5.377999529261363e-84
SOX12,0.0,0,0.0,0.0,0.0,59,1.5103579383014376,1.5103579383014376,6.359863254749565e-103
