,library_size,detected_genes,noninteger_entries
TCGA-C8-A12U-01A,46538531.0,30395,0
TCGA-E2-A56Z-01A,46540815.0,31061,0
TCGA-XX-A89A-01A,46681518.0,33472,0
TCGA-EW-A1OX-01A,46730612.0,29750,0
TCGA-A8-A09A-01A,46776006.0,31438,0
TCGA-AN-A0XT-01A,46779421.0,29204,0
TCGA-A2-A0CY-01A,46844589.0,32759,0
TCGA-E2-A15F-01A,46848076.0,32441,0
TCGA-E9-A1NH-01A,46885623.0,32170,0
TCGA-BH-A0BQ-11A,46888428.0,30581,0
TCGA-BH-A0B7-11A,46899284.0,36003,0
TCGA-GM-A2DL-01A,46968987.0,30602,0
TCGA-AN-A0XN-01A,47066403.0,30201,0
TCGA-E9-A5UP-01A,47188437.0,30057,0
TCGA-OL-A5D6-01A,47249949.0,32185,0
TCGA-EW-A1IZ-01A,47259120.0,32941,0
TCGA-E9-A5UO-01A,47262391.0,29550,0
TCGA-BH-A5IZ-01A,47283987.0,30066,0
TCGA-E2-A15M-11A,47293431.0,30640,0
TCGA-A7-A0DB-11A,47305516.0,29675,0
TCGA-C8-A138-01A,47318276.0,32704,0
TCGA-A2-A0CT-01A,47345752.0,29196,0
TCGA-A2-A1FZ-01A,47386581.0,32983,0
TCGA-B6-A0RV-01A,47411627.0,32025,0
TCGA-BH-A5J0-01A,47452526.0,30612,0
TCGA-A8-A0A4-01A,47460261.0,40418,0
TCGA-E2-A14Z-01A,47481696.0,32000,0
TCGA-AR-A5QP-01A,47503904.0,31827,0
TCGA-BH-A0HF-01A,47545365.0,29207,0
TCGA-A1-A0SB-01A,47572949.0,32930,0
TCGA-A8-A07I-01A,47578365.0,30869,0
TCGA-OL-A66H-01A,47612413.0,30923,0
TCGA-OL-A66L-01A,47616132.0,32516,0
TCGA-A8-A08F-01A,47647603.0,31877,0
TCGA-A7-A13E-11A,47703689.0,31372,0
TCGA-A8-A08H-01A,47719228.0,30672,0
TCGA-BH-A18Q-01A,47738307.0,33997,0
TCGA-OL-A5D8-01A,47745038.0,33688,0
TCGA-C8-A12Z-01A,47771499.0,29602,0
TCGA-D8-A73U-01A,47983045.0,34563,0
TCGA-AR-A1AK-01A,48048388.0,33795,0
TCGA-BH-A18F-01A,48052815.0,30485,0
TCGA-AO-A12B-01A,48064096.0,28251,0
TCGA-GM-A5PX-01A,48065223.0,28302,0
TCGA-A8-A06Y-01A,48089044.0,29551,0
TCGA-A7-A5ZX-01A,48093301.0,33590,0
TCGA-C8-A131-01A,48123528.0,30884,0
TCGA-E9-A1RG-01A,48125514.0,31502,0
TCGA-BH-A0DP-01A,48139444.0,31892,0
TCGA-E2-A108-01A,48146854.0,31911,0
TCGA-BH-A0AU-01A,48256300.0,32314,0
TCGA-A8-A09K-01A,48294869.0,31862,0
TCGA-D8-A1JI-01A,48304628.0,30982,0
TCGA-A2-A0SU-01A,48305959.0,30003,0
TCGA-D8-A73W-01A,48333819.0,32906,0
TCGA-E9-A1ND-11A,48370474.0,32125,0
TCGA-A8-A08P-01A,48377431.0,28058,0
TCGA-AN-A049-01A,48413014.0,31229,0
TCGA-E2-A576-01A,48421301.0,34329,0
TCGA-OL-A66I-01A,48457531.0,32314,0
TCGA-BH-A1FU-01A,48486916.0,32383,0
TCGA-BH-A0RX-01A,48497419.0,30759,0
TCGA-AC-A62X-01A,48511224.0,30122,0
TCGA-E2-A14N-01A,48518202.0,30278,0
